name,Wikipedia Link,location,status,security,security_class_cleaned,capacity,capacity_cleaned,pop,pop_cleaned,pop_measured_time,opened,year_opened,Notes Section,closed,managed_by,director,built,built by
Haynesville Correctional Center,https://en.wikipedia.org/wiki/Haynesville_Correctional_Center,"421 Barnfield Road Haynesville, Virginia",mixed,,mixed,114,1141,,918,2020,1993,1993,Population from January 2020: https://vadoc.virginia.gov/media/1490/vadoc-monthly-offender-population-report-2020-01.pdf,,Virginia Department of Corrections,,,
Lunenburg Correctional Center,https://en.wikipedia.org/wiki/Lunenburg_Correctional_Center,"690 Falls Road Victoria, Virginia",mixed,,mixed,1185,1185,,965,2020,1995,1995,Population from January 2020: https://vadoc.virginia.gov/media/1490/vadoc-monthly-offender-population-report-2020-01.pdf,,Virginia Department of Corrections,,,
Nottoway Correctional Center,https://en.wikipedia.org/wiki/Nottoway_Correctional_Center,"2892 Schutt Road Burkeville, Virginia",open,mixed (reception and classification facility),mixed,1112,1112,,1401,2020,1984,1984,Population from January 2020: https://vadoc.virginia.gov/media/1490/vadoc-monthly-offender-population-report-2020-01.pdf,,Virginia Department of Corrections,,,
Sussex I State Prison,https://en.wikipedia.org/wiki/Sussex_I_State_Prison,"24414 Musselwhite Drive Waverly, Virginia",open,maximum / mixed,mixed,1139,1139,,1134,2020,1998,1998,Population from January 2020: https://vadoc.virginia.gov/media/1490/vadoc-monthly-offender-population-report-2020-01.pdf,,Virginia Department of Corrections,,,
Virginia Correctional Center for Women,https://en.wikipedia.org/wiki/Virginia_Correctional_Center_for_Women,"2841 River Rd W Goochland, Virginia",open,mixed (women's facility),mixed,572,572,,508,2020,1931,1931,Population from January 2020: https://vadoc.virginia.gov/media/1490/vadoc-monthly-offender-population-report-2020-01.pdf,,Virginia Department of Corrections,,,
Airway Heights Corrections Center,https://en.wikipedia.org/wiki/Airway_Heights_Corrections_Center,Airway Heights,Operational,"Minimum, Medium",mixed,2258,2258,,2168,2020,1992,1992,Population from March 2020 https://www.doc.wa.gov/docs/publications/reports/400-RE002.pdf,,Washington State Department of Corrections,,,
Clallam Bay Corrections Center,https://en.wikipedia.org/wiki/Clallam_Bay_Corrections_Center,"Clallam Bay, Washington",Operational,"Medium, Close, Maximum",mixed,858,858,,805,2020,1985,1985,Population from March 2020 https://www.doc.wa.gov/docs/publications/reports/400-RE002.pdf,,Washington State Department of Corrections,,,
Coyote Ridge Corrections Center,https://en.wikipedia.org/wiki/Coyote_Ridge_Corrections_Center,"Connell, Washington",Operational,"Medium, MI3 (Long-term minimum) (MSC)MI2 (Minimum camp) (MSU)",mixed,2468,2468,,2458,2020,1992 (medium security)2009 (maximum security),1992,"Minimum Security opened 1992, max opened 2009. Population from March 2020 https://www.doc.wa.gov/docs/publications/reports/400-RE002.pdf",,Washington State Department of Corrections,,,
Monroe Correctional Complex,https://en.wikipedia.org/wiki/Monroe_Correctional_Complex,Monroe,Operational,"Minimum, medium, close, maximum",mixed,2400,2400,2426 (as of 2018),2529,2020,1910,1910,Population from March 2020 https://www.doc.wa.gov/docs/publications/reports/400-RE002.pdf,,Washington State Department of Corrections,,,
Stafford Creek Corrections Center,https://en.wikipedia.org/wiki/Stafford_Creek_Corrections_Center,Aberdeen,Operational,"Minimum, Medium, Maximum",mixed,1936,1936,,1976,2020,2000,2000,Population from March 2020 https://www.doc.wa.gov/docs/publications/reports/400-RE002.pdf,,Washington State Department of Corrections,,,
Washington Corrections Center,https://en.wikipedia.org/wiki/Washington_Corrections_Center,Shelton,Operational,"Medium, Close, Maximum",mixed,1268,1268,,1865,2020,1964,1964,Population from March 2020 https://www.doc.wa.gov/docs/publications/reports/400-RE002.pdf,,Washington State Department of Corrections,,,
Washington Corrections Center for Women,https://en.wikipedia.org/wiki/Washington_Corrections_Center_for_Women,Gig Harbor,Operational,"Minimum, Medium, Close",mixed,738,738,,886,2020,1971,1971,Population from March 2020 https://www.doc.wa.gov/docs/publications/reports/400-RE002.pdf,,Washington State Department of Corrections,,,
Washington State Penitentiary,https://en.wikipedia.org/wiki/Washington_State_Penitentiary,Walla Walla,Operational,"Minimum, Medium, Close, Maximum",mixed,2439,2439,,2336,2020,1886,1886,Population from March 2020 https://www.doc.wa.gov/docs/publications/reports/400-RE002.pdf,,Washington State Department of Corrections,,,
Pruntytown Correctional Center,https://en.wikipedia.org/wiki/Pruntytown_Correctional_Center,"2006 Trap Springs Road Grafton, West Virginia",open,minimum,mixed,369,369,,362,2019,1985,1985,Security class and population changed per 2019 annual report: https://dcr.wv.gov/resources/Documents/FY2019%20ANNUAL%20REPORT%20WVDCR.pdf,,West Virginia Division of Corrections and Rehabilitation,,,
Taycheedah Correctional Institution,https://en.wikipedia.org/wiki/Taycheedah_Correctional_Institution,"Fond du Lac, Wisconsin(near Taycheedah, Wisconsin)",Operational,Maximum/Medium,mixed,684,752,733 females (as of FY 2008),927,2019,1921,1921,changed capacity and population per annual report: https://doc.wi.gov/Documents/OffenderInformation/AdultInstitutions/WWCSAnnualReport.pdf,,Wisconsin Department of CorrectionsDivision of Adult Institutions,,,
Wyoming Medium Correctional Institution,https://en.wikipedia.org/wiki/Wyoming_Medium_Correctional_Institution,"7076 Rd 55F Torrington, Wyoming",open,medium / mixed,mixed,720,720,,,,2010,2010,Can't find population number,,Wyoming Department of Corrections,,,
Green River Correctional Complex,https://en.wikipedia.org/wiki/Green_River_Correctional_Complex,"1200 River Road Central City, Kentucky",open,minimum/medium,mixed,982,982,,,,1994,1994,,,Kentucky Department of Corrections,,,
Kentucky Correctional Institute for Women,https://en.wikipedia.org/wiki/Kentucky_Correctional_Institute_for_Women,"3000 Ash Avenue Pewee Valley, Kentucky",open,mixed,mixed,721,721,,,,1938,1938,,,Kentucky Department of Corrections,,,
Little Sandy Correctional Complex,https://en.wikipedia.org/wiki/Little_Sandy_Correctional_Complex,"505 Prison Connector Sandy Hook, Kentucky",open,mixed,mixed,1014,1014,,,,2005,2005,,,Kentucky Department of Corrections,,,
Roederer Correctional Complex,https://en.wikipedia.org/wiki/Roederer_Correctional_Complex,"3001 Kentucky 146 La Grange, Kentucky",open,mixed,mixed,997,997,,,,1978,1978,,,Kentucky Department of Corrections,,,
Avoyelles Correctional Center,https://en.wikipedia.org/wiki/Avoyelles_Correctional_Center,"1630 Prison Road Cottonport, Louisiana",,"minimum, medium, maximum",mixed,1564,1564,,,,1989,1989,,,,,,
David Wade Correctional Center,https://en.wikipedia.org/wiki/David_Wade_Correctional_Center,"670 Bell Hill Road Homer, Louisiana",open,mixed,mixed,1244,1244,,,,1980; expanded 1987,1980,,,Louisiana Department of Public Safety and Corrections,,,
Dixon Correctional Institute,https://en.wikipedia.org/wiki/Dixon_Correctional_Institute,"5568 Louisiana 68 Jackson, Louisiana",open,mixed,mixed,2529,2529,,,,1976,1976,,,Louisiana Department of Public Safety & Corrections,,,
Louisiana Correctional Institute for Women,https://en.wikipedia.org/wiki/Louisiana_Correctional_Institute_for_Women,"7205 LA-74 St. Gabriel, Louisiana",,mixed,mixed,1100,1100,,,,1961,1961,,,Louisiana Department of Public Safety & Corrections,,,
Raymond Laborde Correctional Center,https://en.wikipedia.org/wiki/Avoyelles_Correctional_Center,"1630 Prison Road Cottonport, Louisiana",,"minimum, medium, maximum",mixed,1564,1564,,,,1989,1989,,,,,,
Chillicothe Correctional Center,https://en.wikipedia.org/wiki/Chillicothe_Correctional_Center,"3151 Litton Road Chillicothe, Missouri",open,"(Minimum, Medium, Maximum)",mixed,1740,1740,,,,2008,2008,,,Missouri Department of Corrections,Chris McBee,,
"Eastern Reception, Diagnostic and Correctional Center","https://en.wikipedia.org/wiki/Eastern_Reception,_Diagnostic_and_Correctional_Center","2727 Hwy K Bonne Terre, Missouri",Open,"Minimum, Medium, Maximum, Diagnostic , Executions",mixed,2684,2684,,,,2003,2003,,,Missouri Department of Corrections,,,
Farmington Correctional Center,https://en.wikipedia.org/wiki/Farmington_Correctional_Center,"1012 West Columbia Street Farmington, Missouri",,minimum & medium security,mixed,2632,2632,,,,December 1986,1986,,,Missouri Department of Corrections,,,
Moberly Correctional Center,https://en.wikipedia.org/wiki/Moberly_Correctional_Center,"5201 South Morley Street Moberly, Missouri",,"medium, minimum",mixed,1800,1800,,,,January 1963,1963,,,Missouri Department of Corrections,Dean Minor[1],,
Northeast Correctional Center,https://en.wikipedia.org/wiki/Northeast_Correctional_Center,"13698 Airport Road Bowling Green, Missouri",open,minimum / medium,mixed,2098,2098,,,,1998,1998,,,Missouri Department of Corrections,,,
Western Missouri Correctional Center,https://en.wikipedia.org/wiki/Western_Missouri_Correctional_Center,"609 E Pence Road Cameron, Missouri",,Minimum/ Medium,mixed,1925,1925,,,,1988,1988,,,Missouri Department of Corrections,Sherie Korneman,,
"Women's Eastern Reception, Diagnostic and Correctional Center","https://en.wikipedia.org/wiki/Women%27s_Eastern_Reception,_Diagnostic_and_Correctional_Center","1101 US-54 Vandalia, Missouri",open,mixed,mixed,2076,2076,,,,1998,1998,,,Missouri Department of Corrections,,,
Crossroads Correctional Facility,https://en.wikipedia.org/wiki/Crossroads_Correctional_Facility,"50 Crossroads Drive Shelby, Montana",open,mixed,mixed,664,664,,,,1999,1999,,,Corrections Corporation of America,,,
Nebraska Correctional Center for Women,https://en.wikipedia.org/wiki/Nebraska_Correctional_Center_for_Women,"1107 Recharge Road York, Nebraska",Open,Mixed,mixed,275,275,,,,1920,1920,,,Nebraska Department of Correctional Services,,,
Nebraska Diagnostic and Evaluation Center,https://en.wikipedia.org/wiki/Nebraska_Diagnostic_and_Evaluation_Center,"3220 W Van Dorn Street Lincoln, Nebraska",open,mixed,mixed,470,470,,,,1979,1979,,,Nebraska Department of Correctional Services,,,
Nebraska State Penitentiary,https://en.wikipedia.org/wiki/Nebraska_State_Penitentiary,"4201 S 14th Street Lincoln, Nebraska",open,mixed,mixed,1300,1300,,,,1869,1869,,,Nebraska Department of Correctional Services,,,
Tecumseh State Correctional Institution,https://en.wikipedia.org/wiki/Tecumseh_State_Correctional_Institution,"2725 NE-50 Tecumseh, Nebraska",open,"medium, maximum",mixed,960,960,,,,2001,2001,,,Nebraska Department of Correctional Services,,,
Ely State Prison,https://en.wikipedia.org/wiki/Ely_State_Prison,"4569 North State Route 490Ely, Nevada 89702[1]",Operational,Maximum,mixed,1150,1150,"1,125 male inmates[2] (as of May 10, 2017)",1125,,July 1989,1989,,,Nevada Department of Corrections,,,
Florence McClure Women's Correctional Center,https://en.wikipedia.org/wiki/Florence_McClure_Women%27s_Correctional_Center,,Operational,Minimum to Maximum,mixed,950,950,,,,"September 1, 1997",1997,,,Nevada Department of Corrections,,,
High Desert State Prison,https://en.wikipedia.org/wiki/High_Desert_State_Prison_(Nevada),"Clark County, Nevada",Operational,Medium-maximum,mixed,4176,4176,(%),,,1 September 2000,2000,,,Nevada Department of Corrections,,,
Northern Nevada Correctional Center and Stewart Conservation Camp,https://en.wikipedia.org/wiki/Northern_Nevada_Correctional_Center,"1721 Snyder AvenueCarson City, Nevada 89702[1]",Operational,Medium (NNCC)[1]Minimum (SCC)[2],mixed,1859,1859,"1,444 male inmates (NNCC)9 female inmates (NNCC)328 male inmates (SCC)[3] (as of September 1, 2010)",1781,,1964 (NNCC)1978 (SCC),1978,,,Nevada Department of Corrections,,,
New Hampshire State Prison for Men,https://en.wikipedia.org/wiki/New_Hampshire_State_Prison_for_Men,"Concord, New Hampshire",Operational,"Maximum, medium, and minimum",mixed,1461,1461,,,,1878,1878,,,New Hampshire Department of Corrections,,,
Central Reception and Assignment Facility,https://en.wikipedia.org/wiki/Central_Reception_and_Assignment_Facility,"2401 Stuyvesant AvenueTrenton, New Jersey",Open,Mixed,mixed,562,562,,,,1997,1997,,,New Jersey Department of Corrections,,,
East Jersey State Prison,https://en.wikipedia.org/wiki/East_Jersey_State_Prison,"1100 Woodbridge RoadAvenel, New Jersey",Open,Mixed,mixed,1227,1227,,,,1901,1901,,,New Jersey Department of Corrections,,,
Edna Mahan Correctional Facility for Women,https://en.wikipedia.org/wiki/Edna_Mahan_Correctional_Facility_for_Women,"30 Route 513Clinton, New Jersey",Open,Mixed,mixed,709,709,,,,1913,1913,,,New Jersey Department of Corrections,,,
Garden State Youth Correctional Facility,https://en.wikipedia.org/wiki/Garden_State_Youth_Correctional_Facility,,Operational,Minimum to maximum,mixed,1511,1511,,,,1968,1968,,,New Jersey Department of Corrections,,,
Mid-State Correctional Facility,https://en.wikipedia.org/wiki/Mid-State_Correctional_Facility,"9005 Old River Road Marcy, New York",open,mixed,mixed,1754,1754,,,,1983,1983,,,New York State Department of Corrections and Community Supervision,,,
Northern State Prison,https://en.wikipedia.org/wiki/Northern_State_Prison,"168 Frontage RoadNewark, New Jersey",Open,Minimum-Maximum,mixed,2615,2615,,,,1987,1987,,,New Jersey Department of Corrections,,,
South Woods State Prison,https://en.wikipedia.org/wiki/South_Woods_State_Prison,"Bridgeton, New Jersey",Open,medium & maximum,mixed,3327,3327,,,,1997,1997,,,New Jersey Department of Corrections,,,
Central New Mexico Correctional Facility,https://en.wikipedia.org/wiki/Central_New_Mexico_Correctional_Facility,"Los Lunas, New Mexico",Operational,Minimum / Maximum,mixed,,,1110 (as of 2005),1110,,1980,1980,,,,,,
Northwest New Mexico Correctional Facility,https://en.wikipedia.org/wiki/Northwest_New_Mexico_Correctional_Facility,"1700 E Old Highway 66 Grants, New Mexico",open,mixed,mixed,611,611,,,,1989,1989,,,CoreCivic,,,
Fishkill Correctional Facility,https://en.wikipedia.org/wiki/Fishkill_Correctional_Facility,"18 Strack Drive Beacon, New York",open,"minimum, medium and maximum",mixed,1800,1800,,,,1977,1977,,,New York State Department of Corrections and Community Supervision,,,
Greene Correctional Facility,https://en.wikipedia.org/wiki/Greene_Correctional_Facility,"165 Plank Road Coxsackie, New York",open,medium / maximum,mixed,1582,1582,,,,1984,1984,,,New York State Department of Corrections and Community Supervision,,,
Lakeview Shock Incarceration Correctional Facility,https://en.wikipedia.org/wiki/Lakeview_Shock_Incarceration_Correctional_Facility,"9300 Lake Avenue Brocton, New York",open,minimum / mixed,mixed,1100,1100,,,,,,,,New York State Department of Corrections and Community Supervision,,,
Mid-State Correctional Facility,https://en.wikipedia.org/wiki/Mid-State_Correctional_Facility,"9005 Old River Road Marcy, New York",open,mixed,mixed,1754,1754,,,,1983,1983,,,New York State Department of Corrections and Community Supervision,,,
Mohawk Correctional Facility,https://en.wikipedia.org/wiki/Mohawk_Correctional_Facility,"6514 New York 26 Rome, New York",open,mixed,mixed,1167,1167,,,,1988,1988,,,New York State Department of Corrections and Community Supervision,,,
Moriah Shock Incarceration Correctional Facility,https://en.wikipedia.org/wiki/Moriah_Shock_Incarceration_Correctional_Facility,"75 Burhart Lane Mineville, New York",open,minimum / mixed,mixed,300,300,,,,,,,,New York State Department of Corrections and Community Supervision,,,
Brown Creek Correctional Institution,https://en.wikipedia.org/wiki/Brown_Creek_Correctional_Institution,"248 Prison Camp Road Polkton, North Carolina",open,medium/minimum,mixed,1204,1204,,,,July 1993,1993,,,North Carolina Department of Correction,,,
Caledonia Correctional Institution,https://en.wikipedia.org/wiki/Caledonia_State_Prison_Farm,"2787 Caledonia Drive Halifax, North Carolina",open,medium/minimum,mixed,1038,1038,,,,1892,1892,,,North Carolina Department of Correction,,,
Neuse Correctional Institution,https://en.wikipedia.org/wiki/Neuse_Correctional_Institution,"701 Stevens Mill Road Goldsboro, North Carolina",open,minimum and medium security,mixed,816,816,,,,1994,1994,,,North Carolina Department of Public Safety,,,
North Carolina Correctional Institution for Women,https://en.wikipedia.org/wiki/North_Carolina_Correctional_Institution_for_Women,"1034 Bragg Street Raleigh, North Carolina",open,mixed,mixed,1288,1288,,,,1938,1938,,,North Carolina Department of Public Safety,,,
